_ Vote wisely | Vote wisely #DapatTama | wisely #DapatTama _ => 175
_ #Eleksyon2013 #DapatTama | #Eleksyon2013 #DapatTama :-) | #DapatTama :-) _ => 6
_ #Eleksyon2013 #DapatTama | #Eleksyon2013 #DapatTama http://t.co/gNL5HPpPNt | #DapatTama http://t.co/gNL5HPpPNt _ => 3
_ on my | on my complaint. | my complaint. _ => 14
_ #Eleksyon2013 #Halalan2013 | #Eleksyon2013 #Halalan2013 #Pagbabago2013 | #Halalan2013 #Pagbabago2013 _ => 6
_ on my | on my senators | my senators _ => 14
_ Rock 'D | Rock 'D Vote | 'D Vote _ => 3
_ Rock Your | Rock Your Vote | Your Vote _ => 3
_ Roronda . | Roronda . . | . . _ => 3
_ Vote _ | Vote _ @rain122384 | _ @rain122384 _ => 14
_ Will vote | Will vote later | vote later _ => 14
_ Will vote | Will vote later. | vote later. _ => 15
_ Grace Poe | Grace Poe :D | Poe :D _ => 15
_ I'm not | I'm not amused | not amused _ => 13
_ I'm not | I'm not wrong,Sir!:) | not wrong,Sir!:) _ => 13
_ Wala pa | Wala pa ako | pa ako _ => 13
_ Wala pa | Wala pa yan. | pa yan. _ => 13
_ RT Vote | RT Vote now! | Vote now! _ => 3
_ Eleksyon 2013 | Eleksyon 2013 http://t.co/A8IfDFRviS | 2013 http://t.co/A8IfDFRviS _ => 12
_ God bless | God bless #2013Elections | bless #2013Elections _ => 12
_ God bless | God bless #election2013! | bless #election2013! _ => 12
_ God bless | God bless ?? | bless ?? _ => 12
_ God bless | God bless PH" | bless PH" _ => 12
_ God bless | God bless philippines#eleksyon2013 | bless philippines#eleksyon2013 _ => 12
_ God bless | God bless us! | bless us! _ => 12
_ God bless | God bless us. | bless us. _ => 12
_ God bless | God bless us. | bless us. _ => 12
_ Running for | Running for mayor. | for mayor. _ => 6
_ Going to | Going to vote | to vote _ => 24
_ Going to | Going to vote! | to vote! _ => 21
_ Going to | Going to work. | to work. _ => 12
_ sa buong | sa buong Pilipinas. | buong Pilipinas. _ => 5
_ sa buong | sa buong pilipinas." | buong pilipinas." _ => 3
_ Lapit na | Lapit na election | na election _ => 14
_ Lapit na | Lapit na election | na election _ => 14
_ Sa mayor | Sa mayor lang | mayor lang _ => 3
_ OTW to | OTW to vote | to vote _ => 24
_ sa presinto | sa presinto nla | presinto nla _ => 3
_ Vote wisely, | Vote wisely, people!!!!! | wisely, people!!!!! _ => 12
_ Sakit sa | Sakit sa ulo | sa ulo _ => 3
_ Sakit sa | Sakit sa ulo. | sa ulo. _ => 3
_ Salamat po | Salamat po =) | po =) _ => 3
_ Salamat sa | Salamat sa inyo!" | sa inyo!" _ => 3
_ Salamat sa | Salamat sa pagboto. | sa pagboto. _ => 6
_ Saludo po | Saludo po ako | po ako _ => 3
_ Sana election | Sana election lagi! | election lagi! _ => 3
_ Ang daming | Ang daming nasabotohe. | daming nasabotohe. _ => 11
_ Sana maka | Sana maka boto | maka boto _ => 3
_ Election day. | Election day. #Halalan2013 | day. #Halalan2013 _ => 11
_ Sapakan sa | Sapakan sa halalan,! | sa halalan,! _ => 3
_ Saving the | Saving the best | the best _ => 3
_ Mayor lim | Mayor lim haha | lim haha _ => 11
_ Vote wisely!!! | Vote wisely!!! ? | wisely!!! ? _ => 11
_ Vote wisely!!! | Vote wisely!!! Goodmorning. | wisely!!! Goodmorning. _ => 11
_ Senator Nancy | Senator Nancy Binay | Nancy Binay _ => 4
_ Senator Nancy | Senator Nancy Binay. | Nancy Binay. _ => 4
_ Senator Nancy | Senator Nancy Binay? | Nancy Binay? _ => 3
_ Senatoriables 2013 | Senatoriables 2013 http://t.co/HJB4uvxoQb | 2013 http://t.co/HJB4uvxoQb _ => 3
_ Seriously Election | Seriously Election 2013 | Election 2013 _ => 5
_ 1st time | 1st time voters | time voters _ => 13
_ Seriously, I | Seriously, I voted | I voted _ => 3
_ Seriously? No | Seriously? No vote? | No vote? _ => 3
_ Seriously??!! Nancy | Seriously??!! Nancy Binay | Nancy Binay _ => 4
_ Ano ba | Ano ba naman | ba naman _ => 12
_ Ano ba | Ano ba yan!!! | ba yan!!! _ => 10
_ Are you | Are you ready? | you ready? _ => 10
_ Dahil hindi | Dahil hindi makaboto | hindi makaboto _ => 10
_ Shit. Filipino | Shit. Filipino voters | Filipino voters _ => 3
_ Haba ng | Haba ng Pila. | ng Pila. _ => 11
_ Haba ng | Haba ng pila.! | ng pila.! _ => 10
_ Hindi pa | Hindi pa ako | pa ako _ => 11
_ Sibo iboboto | Sibo iboboto ko? | iboboto ko? _ => 4
_ Sige boto | Sige boto ko | boto ko _ => 3
_ Sikat na | Sikat na naman | na naman _ => 3
_ I voted! | I voted! :) | voted! :) _ => 11
_ I voted! | I voted! http://t.co/N6dAl160yh | voted! http://t.co/N6dAl160yh _ => 10
_ Since Nancy | Since Nancy Binay | Nancy Binay _ => 4
_ Sino boto | Sino boto mo? | boto mo? _ => 3
_ Sino si | Sino si wisley?” | si wisley?” _ => 3
_ sipping the | sipping the election | the election _ => 4
_ Boto na! | Boto na! :) | na! :) _ => 10
_ Sleeping on | Sleeping on election | on election _ => 3
_ Boto na! | Boto na! Go! | na! Go! _ => 9
_ Bukas na | Bukas na kasi | na kasi _ => 9
_ Dapat tama. | Dapat tama. #eleksyon2013" | tama. #eleksyon2013" _ => 9
_ Dapat tama. | Dapat tama. #Halalan2013 | tama. #Halalan2013 _ => 9
_ Sna next | Sna next election | next election _ => 3
_ Election is | Election is done! | is done! _ => 9
_ Good night! | Good night! #fb | night! #fb _ => 9
_ Iboto ang | Iboto ang #28AngLadladPartylist." | ang #28AngLadladPartylist." _ => 9
_ lets vote | lets vote for | vote for _ => 16
_ lets vote | lets vote wisely???? | vote wisely???? _ => 9
_ Mamaya na | Mamaya na lang | na lang _ => 10
_ Solo vote | Solo vote for | vote for _ => 5
_ Some PCOS | Some PCOS machines | PCOS machines _ => 6
_ #election2013 #VoteWisely | #election2013 #VoteWisely #Voteastraight | #VoteWisely #Voteastraight _ => 8
_ Source: Comelec | Source: Comelec App" | Comelec App" _ => 3
_ #Eleksyon2013 _ | #Eleksyon2013 _ #ElectionDay | _ #ElectionDay _ => 10
_ #Eleksyon2013 _ | #Eleksyon2013 _ #StillLimForMayor | _ #StillLimForMayor _ => 8
_ #Eleksyon2013 _ | #Eleksyon2013 _ #votewisely | _ #votewisely _ => 11
_ still on | still on going! | on going! _ => 3
_ still on | still on going.#Eleksyon2013 | on going.#Eleksyon2013 _ => 3
_ Stress Drillon | Stress Drillon #election | Drillon #election _ => 3
_ Success! #Eleksyon2013 | Success! #Eleksyon2013 http://t.co/H87ukJiwj9 | #Eleksyon2013 http://t.co/H87ukJiwj9 _ => 3
_ Sulit pa | Sulit pa rin | pa rin _ => 4
_ Sunog ang | Sunog ang nanalo." | ang nanalo." _ => 18
_ Sunog ang | Sunog ang nanalo." | ang nanalo." _ => 17
_ Sunog ang | Sunog ang nanalo. | ang nanalo. _ => 8
_ Sunog ang | Sunog ang nanalo. | ang nanalo. _ => 5
_ Sunog ang | Sunog ang nanalo.” | ang nanalo.” _ => 4
_ Sunog ang | Sunog ang nanalo | ang nanalo _ => 3
_ Sunog ang | Sunog ang nanalo.” | ang nanalo.” _ => 3
_ Sunog ang | Sunog ang nanalo.”” | ang nanalo.”” _ => 3
_ #Vote2013 _ | #Vote2013 _ Election | _ Election _ => 8
_ #Vote2013 _ | #Vote2013 _ Vote | _ Vote _ => 19
_ About to | About to go | to go _ => 9
_ About to | About to vote.. | to vote.. _ => 8
_ Sure na | Sure na ba? | na ba? _ => 7
_ ako ang | ako ang binoto. | ang binoto. _ => 8
_ Beh Boto | Beh Boto Nga. | Boto Nga. _ => 8
_ Dahil sa | Dahil sa #halalan2013 | sa #halalan2013 _ => 11
_ Taas ng | Taas ng boto | ng boto _ => 3
_ Dapat Tama | Dapat Tama #VoteWisely" | Tama #VoteWisely" _ => 8
_ Dapat Tama | Dapat Tama :)) | Tama :)) _ => 8
_ Dapat Tama | Dapat Tama ^.^ | Tama ^.^ _ => 8
_ Takbo na | Takbo na lang | na lang _ => 4
_ Goodluck sa | Goodluck sa pagboto | sa pagboto _ => 9
_ Tanga lang | Tanga lang nila | lang nila _ => 3
_ pag may | pag may time | may time _ => 26
_ pag may | pag may time. | may time. _ => 20
_ Tangible _ | Tangible _ Aware | _ Aware _ => 3
_ pag may | pag may time... | may time... _ => 9
_ pag may | pag may time | may time _ => 7
_ pag may | pag may bagyo." | may bagyo." _ => 5
_ pag may | pag may time. | may time. _ => 5
_ pag may | pag may time... | may time... _ => 6
_ Tara na | Tara na boto | na boto _ => 4
_ New Mayor | New Mayor na! | Mayor na! _ => 8
_ PCOS machine | PCOS machine #missingpapa | machine #missingpapa _ => 5
_ Pls vote | Pls vote for | vote for _ => 13
_ Pls vote | Pls vote wisely! | vote wisely! _ => 78
_ Wala na | Wala na naman | na naman _ => 8
_ Practiced my | Practiced my right. | my right. _ => 6
_ "Luto ang | "Luto ang eleksyon! | ang eleksyon! _ => 8
_ "Luto ang | "Luto ang eleksyon. | ang eleksyon. _ => 12
_ "Luto ang | "Luto ang eleksyon.. | ang eleksyon.. _ => 7
_ results of | results of election | of election _ => 7
_ results of | results of #Election2013 | of #Election2013 _ => 5
_ #election2013" _ | #election2013" _ iVote | _ iVote _ => 8
_ #halalan2013 #eleksyon2013 | #halalan2013 #eleksyon2013 #juanvote | #eleksyon2013 #juanvote _ => 15
_ #halalan2013 #eleksyon2013 | #halalan2013 #eleksyon2013 #juanvote | #eleksyon2013 #juanvote _ => 13
_ SA LIMANG | SA LIMANG DAAN? | LIMANG DAAN? _ => 19
_ SA LIMANG | SA LIMANG DAAN?" | LIMANG DAAN?" _ => 17
_ SA LIMANG | SA LIMANG DAAN? | LIMANG DAAN? _ => 16
_ SA LIMANG | SA LIMANG DAAN?" | LIMANG DAAN?" _ => 11
_ #halalan2013 #eleksyon2013 | #halalan2013 #eleksyon2013 #liberalparty | #eleksyon2013 #liberalparty _ => 7
_ #halalan2013 #eleksyon2013 | #halalan2013 #eleksyon2013 #mercurydrugstore | #eleksyon2013 #mercurydrugstore _ => 7
_ #halalan2013 #eleksyon2013 | #halalan2013 #eleksyon2013 #proudpinoy | #eleksyon2013 #proudpinoy _ => 7
_ #halalan2013 #eleksyon2013 | #halalan2013 #eleksyon2013 #sup5sos | #eleksyon2013 #sup5sos _ => 7
_ San ba | San ba naman | ba naman _ => 5
_ #halalan2013 #eleksyon2013 | #halalan2013 #eleksyon2013 http://t.co/FEdATT0mr8 | #eleksyon2013 http://t.co/FEdATT0mr8 _ => 7
_ #halalan2013 #eleksyon2013 | #halalan2013 #eleksyon2013 http://t.co/q7xlutg4C5 | #eleksyon2013 http://t.co/q7xlutg4C5 _ => 7
_ Sino Mayor | Sino Mayor niyo? | Mayor niyo? _ => 5
_ Thank God | Thank God :-) | God :-) _ => 5
_ Can't vote | Can't vote tomorrow. | vote tomorrow. _ => 8
_ The new | The new velvet | new velvet _ => 5
_ Casting my | Casting my vote! | my vote! _ => 11
_ Casting my | Casting my vote.” | my vote.” _ => 7
_ Election 2013. | Election 2013. #DapatTama. | 2013. #DapatTama. _ => 7
_ Election 2013. | Election 2013. =) | 2013. =) _ => 7
_ Election 2013. | Election 2013. ? | 2013. ? _ => 7
_ Election 2013. | Election 2013. http://t.co/brU81P4Tdn | 2013. http://t.co/brU81P4Tdn _ => 7
_ Vote wisely.. | Vote wisely.. #Eleksyon2013 | wisely.. #Eleksyon2013 _ => 5
_ Eto na | Eto na naman. | na naman. _ => 7
_ Vote wisely.. | Vote wisely.. :-) | wisely.. :-) _ => 5
_ I didn't | I didn't vote" | didn't vote" _ => 9
_ waiting to | waiting to vote | to vote _ => 18
_ waiting to | waiting to vote... | to vote... _ => 9
_ I hate | I hate plays. | hate plays. _ => 7
_ Walang kwenta | Walang kwenta #halalan2013 | kwenta #halalan2013 _ => 5
_ If Nancy | If Nancy Binay | Nancy Binay _ => 16
_ Ill vote | Ill vote for | vote for _ => 10
_ Kandidato ka | Kandidato ka ba? | ka ba? _ => 17
_ Let's do | Let's do this! | do this! _ => 8
_ Make a | Make a change. | a change. _ => 17
_ on the | on the election | the election _ => 13
_ on the | on the list. | the list. _ => 10
_ on the | on the elections. | the elections. _ => 14
_ on the | on the list. | the list. _ => 7
_ on the | on the machine | the machine _ => 7
_ on the | on the Money! | the Money! _ => 7
_ One vote | One vote for | vote for _ => 9
_ Proud to | Proud to vote | to vote _ => 19
_ 11. Koko | 11. Koko Pimentel | Koko Pimentel _ => 3
_ 12. Cynthia | 12. Cynthia Villar" | Cynthia Villar" _ => 3
_ 12am na! | 12am na! :) | na! :) _ => 4
_ 18 RISA | 18 RISA HONTEVEROS" | RISA HONTEVEROS" _ => 3
_ @gmanews @ABSCBNNews | @gmanews @ABSCBNNews @ANCALERTS | @ABSCBNNews @ANCALERTS _ => 3
_ Tuwid na | Tuwid na daan | na daan _ => 7
_ 2 Pay | 2 Pay taxes | Pay taxes _ => 3
_ 2. Chiz | 2. Chiz Escudero | Chiz Escudero _ => 5
_ Working on | Working on election | on election _ => 8
_ 2013"" HAHAHAHAHAHA | 2013"" HAHAHAHAHAHA =))))”" | HAHAHAHAHAHA =))))”" _ => 3
_ 2Days to | 2Days to go | to go _ => 4
_ #DapatTama ang | #DapatTama ang iboto | ang iboto _ => 6
_ #DapatTama ang | #DapatTama ang iboto | ang iboto _ => 6
_ @gretchenho ,,,,hai!!!vote | @gretchenho ,,,,hai!!!vote wisely!!! | ,,,,hai!!!vote wisely!!! _ => 3
_ #Eleksyon2013 #Halalan2013 | #Eleksyon2013 #Halalan2013 #Pagbabago2013 | #Halalan2013 #Pagbabago2013 _ => 9
_ #Eleksyon2013 #Halalan2013 | #Eleksyon2013 #Halalan2013 #FirstTimeVoter | #Halalan2013 #FirstTimeVoter _ => 7
_ #Eleksyon2013 #Halalan2013 | #Eleksyon2013 #Halalan2013 #calixto | #Halalan2013 #calixto _ => 6
_ #Eleksyon2013 #Halalan2013 | #Eleksyon2013 #Halalan2013 http://t.co/4NaHKBf1O5 | #Halalan2013 http://t.co/4NaHKBf1O5 _ => 6
_ #Eleksyon2013 #Halalan2013 | #Eleksyon2013 #Halalan2013 http://t.co/g7RPDuqbPD | #Halalan2013 http://t.co/g7RPDuqbPD _ => 6
_ #Eleksyon2013 #Halalan2013 | #Eleksyon2013 #Halalan2013 http://t.co/HHtlZeAvKo | #Halalan2013 http://t.co/HHtlZeAvKo _ => 6
_ #Eleksyon2013 #Halalan2013 | #Eleksyon2013 #Halalan2013 http://t.co/wqjWBvfUbv | #Halalan2013 http://t.co/wqjWBvfUbv _ => 6
_ #Eleksyon2013 #Halalan2013 | #Eleksyon2013 #Halalan2013 http://t.co/zzU6eea0Qf | #Halalan2013 http://t.co/zzU6eea0Qf _ => 6
_ 3. Risa | 3. Risa Hontiveros | Risa Hontiveros _ => 4
_ #halalan2013 #votewisely | #halalan2013 #votewisely #BeSmart | #votewisely #BeSmart _ => 6
_ #halalan2013 #votewisely | #halalan2013 #votewisely #fb | #votewisely #fb _ => 6
_ #halalan2013 #votewisely | #halalan2013 #votewisely #philippines" | #votewisely #philippines" _ => 6
_ #halalan2013 #votewisely | #halalan2013 #votewisely ?? | #votewisely ?? _ => 7
_ @HeartKneeMe nkaboto | @HeartKneeMe nkaboto kn.? | nkaboto kn.? _ => 3
_ #votewisely _ | #votewisely _ #halalan2013 | _ #halalan2013 _ => 19
_ #votewisely _ | #votewisely _ Election | _ Election _ => 7
_ 5 - | 5 - BINAY | - BINAY _ => 3
_ #votewisely _ | #votewisely _ boto.. | _ boto.. _ => 6
_ 5. Grace | 5. Grace Poe | Grace Poe _ => 6
_ 500 pesos | 500 pesos =))) | pesos =))) _ => 3
_ #votewisely #halalan2013 | #votewisely #halalan2013 #Cavite | #halalan2013 #Cavite _ => 6
_ #votewisely #halalan2013 | #votewisely #halalan2013 :) | #halalan2013 :) _ => 10
_ #votewisely #halalan2013 | #votewisely #halalan2013 http://t.co/d0zmePBU12 | #halalan2013 http://t.co/d0zmePBU12 _ => 6
_ @IamAINZEY naka-vote | @IamAINZEY naka-vote kana? | naka-vote kana? _ => 3
_ 6. Antonio | 6. Antonio Trillanes" | Antonio Trillanes" _ => 3
_ 7 - | 7 - AQUINO | - AQUINO _ => 3
_ 3 years | 3 years ago. | years ago. _ => 7
_ 3 years | 3 years ago. | years ago. _ => 6
_ 7 PCOS | 7 PCOS machines | PCOS machines _ => 3
_ 3 years | 3 years hahaha | years hahaha _ => 6
_ 8. Dick | 8. Dick Gordon | Dick Gordon _ => 3
_ 9 - | 9 - TRILLANES | - TRILLANES _ => 3
_ anyare sa | anyare sa kanya | sa kanya _ => 7
_ Bumoto ka | Bumoto ka ba? | ka ba? _ => 13
_ Bumoto ka | Bumoto ka ba? | ka ba? _ => 13
_ Bumoto ka | Bumoto ka na | ka na _ => 7
_ <--- ASTIG. | <--- ASTIG. #Halalan2013 | ASTIG. #Halalan2013 _ => 3
_ ? Orson | ? Orson Welles | Orson Welles _ => 3
_ ?? #Halalan2013 | ?? #Halalan2013 @ABSCBN_Halalan | #Halalan2013 @ABSCBN_Halalan _ => 4
_ ?? #VoteWisely | ?? #VoteWisely #phvote | #VoteWisely #phvote _ => 3
_ ??" _ | ??" _ #Eleksyon2013 | _ #Eleksyon2013 _ => 8
_ Election Day | Election Day #halalan2013 | Day #halalan2013 _ => 7
_ ??? on | ??? on election | on election _ => 3
_ Election Day | Election Day ... | Day ... _ => 6
_ @iamsuperbianca #PHvote | @iamsuperbianca #PHvote #Halalan2013 | #PHvote #Halalan2013 _ => 20
_ Election Day | Election Day hihi | Day hihi _ => 6
_ Election Day | Election Day na! | Day na! _ => 6
_ Election Day | Election Day tomorrow! | Day tomorrow! _ => 6
_ Election tomorrow! | Election tomorrow! ???? | tomorrow! ???? _ => 6
_ @iamyourJhaye I | @iamyourJhaye I voted | I voted _ => 3
_ ??????????Please vote | ??????????Please vote for | vote for _ => 3
_ FRESNEDI FOR | FRESNEDI FOR MAYOR! | FOR MAYOR! _ => 21
_ FRESNEDI FOR | FRESNEDI FOR MAYOR! | FOR MAYOR! _ => 13
_ Gonna vote | Gonna vote later | vote later _ => 6
_ ?pumasok sa | ?pumasok sa senatorial | sa senatorial _ => 3
_ @ City | @ City HALL""”" | City HALL""”" _ => 3
_ goodmorning! vote | goodmorning! vote wisely! | vote wisely! _ => 74
_ Happy to | Happy to go | to go _ => 7
_ I'll vote | I'll vote for | vote for _ => 11
_ I'll vote | I'll vote later | vote later _ => 7
_ I'll vote | I'll vote later. | vote later. _ => 7
_ I'll vote | I'll vote na | vote na _ => 6
_ @ABSCBN_Halalan @ANCALERTS | @ABSCBN_Halalan @ANCALERTS ! | @ANCALERTS ! _ => 3
_ @ABSCBN_Halalan @bayanmo | @ABSCBN_Halalan @bayanmo @ANCALERTS | @bayanmo @ANCALERTS _ => 3
_ @ImRichardYap08 Yesss??????Voted | @ImRichardYap08 Yesss??????Voted Magsaysay | Yesss??????Voted Magsaysay _ => 3
_ lahat ng | lahat ng boboto | ng boboto _ => 8
_ lahat ng | lahat ng iboboto | ng iboboto _ => 8
_ lahat ng | lahat ng boboto | ng boboto _ => 6
_ @Instajameymey sa | @Instajameymey sa mayor | sa mayor _ => 5
_ @ABSCBNNews Vote | @ABSCBNNews Vote buying | Vote buying _ => 5
_ @aceee14 Hahaha | @aceee14 Hahaha XD | Hahaha XD _ => 4
_ @IrvinnTang mayor | @IrvinnTang mayor lang | mayor lang _ => 3
_ @ish3679 nakaboto | @ish3679 nakaboto ka? | nakaboto ka? _ => 3
_ lahat ng | lahat ng senador | ng senador _ => 6
_ Later na | Later na lang | na lang _ => 7
_ Later na | Later na yan | na yan _ => 7
_ Let's vote! | Let's vote! #votewisely | vote! #votewisely _ => 7
_ Makaboto na | Makaboto na nga.hehe | na nga.hehe _ => 6
_ Mayor na | Mayor na lang | na lang _ => 8
_ Mayor na | Mayor na ako. | na ako. _ => 7
_ Mayor na | Mayor na maaasahan! | na maaasahan! _ => 6
_ @JAAAYalterado Halalan | @JAAAYalterado Halalan thang. | Halalan thang. _ => 3
_ Nakaboto na. | Nakaboto na. 1017hrs | na. 1017hrs _ => 6
_ Nakaboto na. | Nakaboto na. :)))) | na. :)))) _ => 6
_ Nakaboto na. | Nakaboto na. http://t.co/V7mjPxDliG | na. http://t.co/V7mjPxDliG _ => 6
_ Need to | Need to do | to do _ => 6
_ Need to | Need to go | to go _ => 7
_ Next election | Next election na | election na _ => 7
_ Next election | Next election nalang | election nalang _ => 6
_ @janeymontemayor cnu2 | @janeymontemayor cnu2 kau? | cnu2 kau? _ => 3
_ @janeymontemayor dami | @janeymontemayor dami hahaha | dami hahaha _ => 3
_ SA TAMANG | SA TAMANG DAAN? | TAMANG DAAN? _ => 10
_ SA TAMANG | SA TAMANG DAAN? | TAMANG DAAN? _ => 9
_ @ANCALERTS #Halalan2013 | @ANCALERTS #Halalan2013 #juanvote | #Halalan2013 #juanvote _ => 4
_ Sana sa | Sana sa Election | sa Election _ => 11
_ Sana si | Sana si @TheMayorLIM | si @TheMayorLIM _ => 6
_ @AngelaMayor14 Ah | @AngelaMayor14 Ah Ok.? | Ah Ok.? _ => 3
_ @AngelaMayor14 Happy | @AngelaMayor14 Happy Birthday!!?? | Happy Birthday!!?? _ => 3
_ Si Mayor | Si Mayor na! | Mayor na! _ => 6
_ @anglcmrpz me | @anglcmrpz me too | me too _ => 3
_ Vote buying? | Vote buying? Hahahaha | buying? Hahahaha _ => 6
_ Vote Wisely!!!! | Vote Wisely!!!! :)) | Wisely!!!! :)) _ => 6
_ Who to | Who to vote? | to vote? _ => 9
_ Why is | Why is it | is it _ => 6
_ Work on | Work on election | on election _ => 10
_ "@vicegandako: God | "@vicegandako: God bless | God bless _ => 7
_ "good morning | "good morning :-) | morning :-) _ => 6
_ "Off to | "Off to vote! | to vote! _ => 14
_ "Vote wisely | "Vote wisely Bataan! | wisely Bataan! _ => 5
_ #election2013 _ | #election2013 _ Election | _ Election _ => 7
_ #election2013 _ | #election2013 _ #Eleksyon2013 | _ #Eleksyon2013 _ => 11
_ @athanco @… | @athanco @… http://t.co/AAPsq65lFo" | @… http://t.co/AAPsq65lFo" _ => 3
_ @jopzmontemayor AMEN | @jopzmontemayor AMEN :-) | AMEN :-) _ => 3
_ @jopzmontemayor gondo | @jopzmontemayor gondo :-) | gondo :-) _ => 3
_ #election2013 _ | #election2013 _ #votewisely | _ #votewisely _ => 8
_ @BabyAben @valeriexclusive | @BabyAben @valeriexclusive @samsantiagoreal | @valeriexclusive @samsantiagoreal @eunicegale_ => 3
_ @BarrettoJuliane after | @BarrettoJuliane after election | after election _ => 3
_ #election2013 _ | #election2013 _ Halalan2013 | _ Halalan2013 _ => 5
_ @juneeeee iboboto | @juneeeee iboboto ko | iboboto ko _ => 3
_ #election2013 _ | #election2013 _ Vote | _ Vote _ => 16
_ #election2013 _ | #election2013 _ #votewisely | _ #votewisely _ => 8
_ #ElectionDay _ | #ElectionDay _ #Eleksyon2013 | _ #Eleksyon2013 _ => 10
_ @beyberownikaaa Sino | @beyberownikaaa Sino Mayor? | Sino Mayor? _ => 3
_ #nowwatching #Eleksyon2013 | #nowwatching #Eleksyon2013 (GMA) | #Eleksyon2013 (GMA) _ => 8
_ #VoteWisely #DapatTama | #VoteWisely #DapatTama #cainta | #DapatTama #cainta _ => 5
_ 2. Alfredo | 2. Alfredo Lim | Alfredo Lim _ => 8
_ 2013 Elections | 2013 Elections =)) | Elections =)) _ => 5
_ @KathDevotees followback | @KathDevotees followback po. | followback po. _ => 3
_ 92% of | 92% of ERs | of ERs _ => 10
_ @KattVillamayor ohh | @KattVillamayor ohh bakit? | ohh bakit? _ => 3
_ @carlakathrina boto | @carlakathrina boto ko | boto ko _ => 3
_ @CarlitoPanYvino haha | @CarlitoPanYvino haha .. | haha .. _ => 4
_ @KelseyTomFans voted! | @KelseyTomFans voted! :) | voted! :) _ => 4
_ Boboto ka | Boboto ka ba? | ka ba? _ => 12
_ Boboto ka | Boboto ka ga? | ka ga? _ => 5
_ Boboto ka | Boboto ka na! | ka na! _ => 5
_ Boto na | Boto na :) | na :) _ => 10
_ Boto na | Boto na ! | na ! _ => 6
_ Botohan na! | Botohan na! :) | na! :) _ => 6
_ Botohan na! | Botohan na! :D | na! :D _ => 6
_ Botohan na. | Botohan na. #DapatTama | na. #DapatTama _ => 5
_ Botohan na. | Botohan na. #votewisely | na. #votewisely _ => 5
_ Bro. Eddie | Bro. Eddie Villanueva! | Eddie Villanueva! _ => 5
_ Bro. Eddie | Bro. Eddie Villanueva." | Eddie Villanueva." _ => 5
_ @ChlowCuizon vice | @ChlowCuizon vice mayor??? | vice mayor??? _ => 3
_ @krysta_028 sa | @krysta_028 sa botohan | sa botohan _ => 3
_ @ku_vievie #Eleksyon2013 | @ku_vievie #Eleksyon2013 #DapatTama | #Eleksyon2013 #DapatTama _ => 54
_ @L_spainhour nagvote | @L_spainhour nagvote ka? | nagvote ka? _ => 3
_ @chuvaness I | @chuvaness I voted | I voted _ => 3
_ Election n | Election n pala.. | n pala.. _ => 5
_ @LesGo123 fuckrrrrr | @LesGo123 fuckrrrrr #whatHappenedtoVoteWisely | fuckrrrrr #whatHappenedtoVoteWisely _ => 3
_ Finished voting | Finished voting #halalan2013 | voting #halalan2013 _ => 6
_ @lizbelle_28 iboboto | @lizbelle_28 iboboto ko | iboboto ko _ => 3
_ GoodNight! Vote | GoodNight! Vote Wisely | Vote Wisely _ => 27
_ @cudlr ilan | @cudlr ilan boto | ilan boto _ => 3
_ @Dayanie11 vote | @Dayanie11 vote for | vote for _ => 3
_ @DarrenOsena Nancy | @DarrenOsena Nancy Binay | Nancy Binay _ => 4
_ @DeniseCalangi Vote | @DeniseCalangi Vote buying | Vote buying _ => 5
_ @lysalabs I | @lysalabs I voted | I voted _ => 3
_ @DevoteesCHAPTER clear! | @DevoteesCHAPTER clear! :) | clear! :) _ => 3
_ #Halalan2013 Good | #Halalan2013 Good Luck | Good Luck _ => 3
_ @MaengMae sa | @MaengMae sa 13 | sa 13 _ => 3
_ #halalan2013 Jorge | #halalan2013 Jorge Cariño | Jorge Cariño _ => 4
_ Election na...vote | Election na...vote wisely!!!! | na...vote wisely!!!! _ => 3
_ election naaa!!! | election naaa!!! hahaha | naaa!!! hahaha _ => 3
_ Election nga | Election nga naman-.- | nga naman-.- _ => 3
_ @mar_kofrias iboto | @mar_kofrias iboto mo | iboto mo _ => 3
_ #HALALAN2013 Vice | #HALALAN2013 Vice President | Vice President _ => 3
_ Election Today | Election Today Go...... | Today Go...... _ => 3
_ #HindiNakapasokSiDICK #SMH | #HindiNakapasokSiDICK #SMH #2013election | #SMH #2013election _ => 3
_ Election2013#firsttimevoter#dimakatulog#kainLang ako#humandana | Election2013#firsttimevoter#dimakatulog#kainLang ako#humandana pilipinas | ako#humandana pilipinas _ => 3
_ #inked #votewisely | #inked #votewisely #halalan2013 | #votewisely #halalan2013 _ => 8
_ Elections 2013 | Elections 2013 :) | 2013 :) _ => 3
_ #instapic #instacool… | #instapic #instacool… http://t.co/SzlDpsmYe4" | #instacool… http://t.co/SzlDpsmYe4" _ => 3
_ #INSTAVOTE #INSTASHOT… | #INSTAVOTE #INSTASHOT… http://t.co/lry0P7RiBK" | #INSTASHOT… http://t.co/lry0P7RiBK" _ => 3
_ @mayoramos1 whehehe | @mayoramos1 whehehe pwede | whehehe pwede _ => 3
_ Eleksyon 2013 | Eleksyon 2013 http://t.co/A8IfDFRviS | 2013 http://t.co/A8IfDFRviS _ => 3
_ @MAYORrific halata | @MAYORrific halata eh | halata eh _ => 3
